genes
ACOT8
ECI2
SLC25A17
PMVK
DHRS4
SLC27A2
PXMP4
CRAT
DAO
AGXT
ECH1
EHHADH
PAOX
EPHX2
ABCD1
ACSL1
ACSL3
ACSL4
ABCD2
ACSL6
MLYCD
AMACR
MPV17L
PRDX5
HACL1
DECR2
ACAA1
HMGCL
HSD17B4
IDH1
IDH2
GSTK1
NUDT19
MPV17
MVK
NOS2
PRDX1
ACOX1
HAO2
PIPOX
ACSL5
PEX1
PEX6
PEX7
PEX10
PEX12
PEX13
PEX14
PHYH
HAO1
CROT
PEX26
FAR2
PECR
BAAT
PEX19
ABCD3
ABCD4
PXMP2
PEX2
PEX5
SCP2
SOD1
SOD2
XDH
ACOX2
ACOX3
NUDT12
FAR1
GNPAT
CAT
PEX3
DDO
AGPS
PEX11B
PEX11A
PEX11G
PEX16
PPARA
