gene_id	gene_name	SRR10662892	SRR10662893	SRR10662894	SRR10662895	SRR10662896	SRR10662897	SRR10662898	SRR10662899	SRR10662900	SRR10662901	SRR10662902	SRR10662903	SRR10662904	SRR10662905	SRR10662906	SRR10662907	SRR10662908	SRR10662909
DCST1-AS1	DCST1-AS1	0	0	1	0	0	2.999	2.996	2	0	0	3	2	2	0	0	0.981	0	2.001
DCST2	DCST2	3	3	1	2	1	2	1	0	0	0	1	1	2	3	0	0	0	0
DCSTAMP	DCSTAMP	10	6	3	3	12	0	11	0	0	4	4	0	12	1	2	0	4	0
DCT	DCT	24	15	8	11	15	2	6	3	0	6	15	12	24	8	0	0	12	1
DCTD	DCTD	35	24	55	30	40	109	71	4	6	4	7	15	19	8	7	73	6	24
DCTN1	DCTN1	75	30	125	69	77	233	141	19	11	21	26	74	56	44	44	188	19	43
DCTN1-AS1	DCTN1-AS1	10	6	8	10	24	1	15	2	3	6	16	6	14	6	3	1	25	0
DCTN2	DCTN2	34	21	67	46	39	102	54	28	0	5	7	23	36	13	19	100	13	48
DCTN3	DCTN3	13	11	38.001	16	12	55	39	8	4	4	9	14	10	8	4	64	6	7
DCTN4	DCTN4	20	26	56	57	43	111	75	17	3	7	14	38	46	23	10	44	18	17
DCTN5	DCTN5	96	57	122.001	115	64.074	146	107	16	4	30	37	65	68	38	14	182	35	27
DCTN6	DCTN6	12	4	16	15	18	35	15	5	0	3	8	5	11	8	3	9	3	11
DCTPP1	DCTPP1	3	6	27	19	15.999	35	25	2	4	6	6	15	17	6	4	48	5	10
DCUN1D1	DCUN1D1	80	62	196	126	164	231	151	34	17	44	55	85	98	43	81	205	61	73
DCUN1D2	DCUN1D2	6	8.207	17.248	7	6	15.18	10	0	2	2	3.102	7	12	9	12	16	3	7
DCUN1D3	DCUN1D3	51	14	15	34	30	17	29	3	1	17	21	26	39	5	5	6	16	12
DCUN1D4	DCUN1D4	32	34	90	66	110	100	100	25	3	24	25	31	36	25	0	66	22	38
DCUN1D5	DCUN1D5	72	56	100	91	93	93	102	12	0	16	49	46	68	24	29	64	31	16
DCX	DCX	40	24	38	41	87	1	52	2	6	11	21	22	48	16	2	13	25	6
DCXR	DCXR	22	24	52	29	27	73	98	6	8	2	10	17	29	21	24	75	2	14
DCXR-DT	DCXR-DT	0	0	1	0	2	0	1	0	0	1	0	0	0	0	0	2	0	0
DDA1	DDA1	13	9	44	19	17	56	36	0	7	5	7	13	13	8	18	49	14	30
DDAH1	DDAH1	9	19	13	22	19	0	8	11	0	6	10	12	17	3	1	0	2	11
DDAH2	DDAH2	3	3	13	3	0	11	11	0	0	2	0	2	0	1	2	11	0	2
DDB1	DDB1	78	33	112	71	87	189	126	35	0	22	28	56	60	13	41	109	19	55
DDB2	DDB2	26	8	37	13	31	71	43	1	5	6	6	16	9	9	21	51	5	26
DDC	DDC	1	5	1	1	2	0	0	0	0	2	1	4	2	1	0	0	1	0
DDC-AS1	DDC-AS1	2	8	0	4	2	0	0	0	0	0	0	1	6	2	0	0	1	0
DDHD1	DDHD1	140	100	217	216	215	277	190	58	11	59	71	100	125	83	52	201	51	107
DDHD2	DDHD2	60	36	77	53	68	106.001	71	11	11	23	18	34	52	14	41	40	31	7
DDI1	DDI1	10	0	0	6	4	0	5	1	0	1	7	6	3	5	3	0	1	6
DDI2	DDI2	95	62	100.091	76	137.153	145.798	119.204	30	12	34	37.976	44.274	65.555	50	19.279	149	55.013	41.319
DDIAS	DDIAS	15	14	8	8	11	7	10	0	1	10	9	10	19	16	0	10	11	7
DDIT3	DDIT3	17	7	18	4	16	48	26	4	1	3	0	6	13	15	4	47	1	5
DDIT4	DDIT4	57	367	120	67	627	638	84	73	69	32	23	153	49	49	134	197	13	31
DDIT4L	DDIT4L	5	4	4	11	23	1	14	0	0	1	5	4	7	2	0	0	1	4
DDN	DDN	0	0	0	0	1	5	1	0	0	2	0	1	0	1	0	0	0	0
DDN-AS1	DDN-AS1	0	0	1.001	2.12	1.857	7.999	2	4	0	0	1.808	2	0.997	4.814	2	3.04	0	0
DDO	DDO	8	4	1	11	4	0	3	0	0	4	3	3	13	3	0	0	6	3
DDOST	DDOST	72.806	26.807	126.02	57.65	93.808	221.354	137.457	16	1	11.931	17.775	40.33	44.602	36.664	49.89	204.977	14.907	39
