gene_id	gene_name	SRR10662892	SRR10662893	SRR10662894	SRR10662895	SRR10662896	SRR10662897	SRR10662898	SRR10662899	SRR10662900	SRR10662901	SRR10662902	SRR10662903	SRR10662904	SRR10662905	SRR10662906	SRR10662907	SRR10662908	SRR10662909
A1BG	A1BG	4	7.764	10	7	9.405	13	10	8	0	0	2	9	2	6	0	24	4	13
A1BG-AS1	A1BG-AS1	1	2.236	1	1.271	6.468	5.353	5.094	0	0	0	0	0	0	0	0	6.032	1	5.992
A1CF	A1CF	37	22	24	45	85	2	39	4	5	18	31	35	48	14	10	11	23	20
A2M	A2M	15	12.999	7	7	16.59	32.77	12	4	0	8	6	9.98	12.335	8	4.996	9.847	3	13
A2M-AS1	A2M-AS1	13	4	3	5	11	30	21	0	0	13	5	10	8.665	8	4	8	3	0
A2ML1	A2ML1	13	4	0	16	6	2	10	0	0	5	11	2	10	9	0	0	13	1
A2MP1	A2MP1	3	0	1	2	4	1	0	0	1	0	1	3	0	0	1	0	2	1
A3GALT2	A3GALT2	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0
A4GALT	A4GALT	3	2	0	2	3	1	0	0	0	0	0	0	0	2	0	1	0	0
A4GNT	A4GNT	4	7	1	1	5	0	4	0	0	4	2	1	9	1	0	0	1	4
AA06	AA06	2	1	0	4	0	0	2	0	0	0	0	2	1	1	0	1	1	0
AAAS	AAAS	18	8	24	18	23	42	31	0	11	1	6	17	7	5	0	45	0	4
AACS	AACS	13	7	27	9	10	12	24	10	2	4	2	8	15	10	3	2	1	1
AACSP1	AACSP1	3	5	1	10	2	0	0	0	0	4	4	0	6	2	0	0	4	0
AADAC	AADAC	7	4	6	3	8	1	10	0	0	5	4	3	14	6	0	0	3	4
AADACL2	AADACL2	18	22	13	22	18	0	16	7	0	15	12	6	28	20	0	0	1	14
AADACL2-AS1	AADACL2-AS1	2	1	2	0	1	2	4	0	0	0	4	0	1	1	0	1	0	0
AADACL3	AADACL3	22	12	8	26	31	1	21	0	0	8	11	24	25	5	0	0	5	4
AADACL4	AADACL4	10	3	0	8	3	0	0	2	0	4	1	1	6	4	0	0	9	0
AADACP1	AADACP1	9	6	6	5	2	1	1	0	0	12	4	7	11	1	0	0	9	1
AADAT	AADAT	5	3	4	4	4	0	6	1	0	5	2	0	6	4	0	0	0	2
AAGAB	AAGAB	29	9	61	39	26	67	48	2	7	12	14	24	21	14	17	31	5	20
AAK1	AAK1	262	204	281	256	471	658	384	57	28	78	162	161.832	189	105	76	512	80	96
AAMDC	AAMDC	5	0	10	2	9	12.001	4	1	0	3	4	5	6	2	2	11	1	4
AAMP	AAMP	24	15	57	31	50	98	77	9	0	11	8	16	9	27	9	113	7	22
AANAT	AANAT	4	3	4	1	3	0	1	0	0	0	1	1	1	2	0	0	0	0
AAR2	AAR2	28	18	35	24	33	75	46	9	4	10	8	27	32	11	9	60	2	8
AARD	AARD	2	1	3	8	3	2	2	0	1	4	1	0	7	0	5	0	0	1
AARS1	AARS1	38	10	75	39	24	109	63	13	0	13	6	24	24	17	15	64	2	25
AARS2	AARS2	26	32	36	31	26	59	39	0	12	5	4	6	17	9	15	43	11	16
AARSD1	AARSD1	10	7.203	19	10	17	28.274	16.9	0	3	5	1	8.41	17	0	4	7.473	1	0
AASDH	AASDH	32	21	52.999	40	37	64	52	20	0	7	8	20	20	9	11	84	10	9
AASDHPPT	AASDHPPT	62	24	120	29	91	177	128	16	12	19	17	42	39	56	19	87	4	25
AASS	AASS	35	33	32	31	48	22	25	4	2	4	9	13	16	6	4	0	4	6
AATBC	AATBC	3	10	1	1	3	5	3	0	0	0	2	3	0	11	0	6	0	7
AATF	AATF	37	13	49	34	34	111	72	3	0	7	15	26	14	27	27	113	12	34
AATK	AATK	1	1	1	0	3	1	1	0	0	0	1	0	1	3	0	11	0	0
ABALON	ABALON	3.951	2.578	8.916	8.96	2.754	14.911	12.064	2.006	0	0	1.305	9.124	7.558	2.614	7.524	9.832	4.342	2.247
ABAT	ABAT	24	15	16	26	14	16	21	0	1	5	8	10	23	10	9	9	0	2
ABCA1	ABCA1	43	23	14	35	55	4	28	2	6	14	23	22	56	16	6	0	14	30
ABCA10	ABCA10	13.255	7	13	18	39.001	5.168	23	0	0	2.165	3.073	13	22.849	5.44	5	0	17	3.002
ABCA11P	ABCA11P	11.056	6.977	15.713	14.417	21.79	30.392	22.794	6.997	1	8.958	5.197	12.409	11.679	2	7	25.623	5	6.422
ABCA12	ABCA12	20	28	29	24	46	3	33	3	7	9	13	19	24	16	1	2	17	8
ABCA13	ABCA13	40	36	14	53	53	2	24	0	0	11	32	12	56	20	3	3	9	17
ABCA17P	ABCA17P	12	5	4	7.999	7	0	5	0	0	3	7	2	10	5	0	1	1	2
ABCA2	ABCA2	33	18	56	41	27	128	40	16	4	13	5	16	18	6	25	87	11	15
ABCA3	ABCA3	10	8	6	8.001	15	12	4	3	0	4	0	8	5	3	4	5	1	1
ABCA4	ABCA4	19	8	3	11	10	0	6	0	0	7	4	5	17	7	0	2	4	2
ABCA5	ABCA5	66.745	50	89	72	124	122.832	90	15	0	18.835	46.927	46	52.151	28.561	25	74	27	63.998
ABCA6	ABCA6	19	12	11	18	31	0	20	2	2	7	3	6	12	7	1	0	5	14
ABCA7	ABCA7	79	61	150	88	90	268	203	33	13	25	24	102	68	31	58	151	10	51
ABCA8	ABCA8	17	17	13	17	18	4	9	3	1	6	3	8	15	8	2	11	5	10
ABCA9	ABCA9	10	19	14	22	19	1	13.998	0	1	6	9.197	10	21	8	1	0	11	10
ABCA9-AS1	ABCA9-AS1	3	1	3	2	5	0	2.002	0	0	2	2.803	0	1	0	0	0	0	1
ABCB1	ABCB1	13.071	10	13	11.736	14	6	12	0	0	4.261	13.492	13	22	8.594	1	4	5	2
ABCB10	ABCB10	27	13	30	51	31	53	38	3	0	5	10	13	15	12	12	2	7	20
ABCB11	ABCB11	26	6	18	23.879	18	2	21	7	0	13	14	16	21	2	1.111	2	9	22
ABCB4	ABCB4	12.929	12	6	16.264	16	1	8	0	1	2.739	11.508	13	12	2.406	0	0	5	6
ABCB5	ABCB5	38.001	7	5	21.001	26.999	3	19	2	1	13	11	14	26	6	2	1	9	13
ABCB6	ABCB6	1	4	3	3	3	3	3	0	0	7	1	8	5	7	0	7	1	1
ABCB7	ABCB7	47	41	59	39	35	59	46	16	4	15	30	24	34	20	36	8	14	37
ABCB8	ABCB8	5	17	17	4	14	39	24	5	1	2	12	5	9	6	3	30	3	4
ABCB9	ABCB9	6	6	5	1	4	11	10	0	0	1	1	14	3	7	0	7	0	2
ABCC1	ABCC1	63	48	101	76	96	204	89	15	39	31	38	25	41	33	37	128	4	28
ABCC10	ABCC10	31	33	73	43	42	98	64	5	4	15	17	41	41	22	23	45	5	32
ABCC11	ABCC11	10	10	8.252	19	12.154	0	10.533	0	0	3	11	10	24	4	13.911	5.152	2	3
ABCC12	ABCC12	7	10	1	17	9	0	3	1	0	1	5	15	11	6	0	0	4	2
ABCC13	ABCC13	9	6	8	3	17	0	11	0	0	8	9	2	27	8	9	0	3	5
ABCC2	ABCC2	16	11	9	7	19	8	7	2	1	5	4	13	19	9	6	6	10	5
ABCC3	ABCC3	5	6	0	2	3	0	6	3	0	7	6	15	5	1	0	0	0	1
ABCC4	ABCC4	35	7	21	36	18	26	40	6	0	8	11	19	24	28	8	11	4	21
ABCC5	ABCC5	32	23	49	38	29	58	29	8	2	15	18	25	36	8	9	53	9	11
ABCC5-AS1	ABCC5-AS1	2	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0
ABCC6	ABCC6	6.534	5.126	5.14	7.516	9.497	3	0	2	0	7.388	5.268	4.396	6.922	2.048	0	0	1	0
ABCC6P1	ABCC6P1	20.466	16.874	12.86	16.484	15.503	0	9	1	0	3.612	3.732	18.604	20.078	17.952	0	0	1	11
ABCC6P2	ABCC6P2	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0
ABCC8	ABCC8	7	7	3	4	4	4	1	0	0	0	3	4	4	4	0	0	0	3
ABCC9	ABCC9	27	14	15	35	30	2	27	2	3	11	9	16	17	16	5	6	29	18
ABCD1	ABCD1	0	7	4	7	10	18	12	0	0	0	1	2	5	2	0	5	1	0
ABCD2	ABCD2	108	50	118	75	75	157	91	12	0	53	47	41	63	21	41	63	37	24
ABCD3	ABCD3	35	13	58	48	57	58	55	2	0	4	16	29	34	36	6	70	4	22
ABCD4	ABCD4	34	10	41	36	45	45	58	9	3	6	6	20	13	6	11	36	1	14
ABCE1	ABCE1	76	34	164.985	121	98.994	206.996	132	33	22	23	16	47	61	32	26	193.994	36	20
ABCF1	ABCF1	20	13	42	32	30	93	54	10	0.999	7	14	20	22	20	24	67	6	28
ABCF2	ABCF2	37.421	24.111	35.166	37	18.045	59.514	41.438	2.589	0	10	7.876	16.746	24.522	11.872	4	20.284	6	5.698
ABCF3	ABCF3	21	14	55	19	22	61	43	17	0	5	3	18	15	1	0	50	8	7
ABCG1	ABCG1	18	12	21	12	7	39	26	10	0	3	6	4	4	1	0	51	2	3
ABCG2	ABCG2	14	9	13	19	14	1	9	0	0	6	7	11	19	6	0	0	13	8
ABCG4	ABCG4	6	0	0	3	1	1	1	0	2	0	5	3	8	1	0	0	1	0
ABCG5	ABCG5	7	3	4	10	9.72	1	2	0	0	6	8	12	8	8	3	0	8	1
ABCG8	ABCG8	31	14	6	42	17	3	5	0	0	16	15	15	28	7	2	0	19	0
ABHD1	ABHD1	3	0	1	4	1	3	2	0	0	1	0	1	0	1	2	2	0	0
ABHD10	ABHD10	22	15	61	11	54	80	59	10	2	13	10	23	24	11	8	72	6	16
ABHD11	ABHD11	6	3	7	11	11	18.999	13	0	0	2	2	9	1	6	2	13	2	4
ABHD11-AS1	ABHD11-AS1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ABHD12	ABHD12	21	15	35	23	21	53	43	4	1	3	9	21	18	2	8	36	3	13
ABHD12B	ABHD12B	4	3	4	14	4	2	4	1	1	3	3	2	2	3	0	0	3	0
ABHD13	ABHD13	77	51	130	59	105	170	119	2	2	25	27	62	71	43	20	84	20	59
ABHD14A	ABHD14A	16.22	3	26.127	8	10.755	46.524	19.141	6.084	7	1	0	14.855	8	5	1.501	77.713	6	3
ABHD14A-ACY1	ABHD14A-ACY1	3.78	0	8.873	0	2.245	8.476	7.859	2.916	0	0	2	5.145	0	0	2.499	2.287	0	0
ABHD14B	ABHD14B	43	25	118	60	86	184	131	6	8	20	30	34	35	34	29	205	17	37
ABHD15	ABHD15	27	16	16	20	16	28	14	7	5	7	15	17	9	15	19	14	7	6
ABHD16A	ABHD16A	20	4	28	10	18	52	40	0	6	0	2	17	13	9	0	30	4	6
ABHD16B	ABHD16B	5	0	2	5	2	11	17	1	0	4	3	2	4	3	0	6	0	0
ABHD17A	ABHD17A	24	11	49	27	34	92	31	4	0	7	5	12	12	5	4	64	0	10
ABHD17B	ABHD17B	34	23	62	47	45	77	54	7	5	24	14	22	34	14	14	48	7	22
ABHD17C	ABHD17C	8	7	8	6	17	4	16	5	1	0	5	13	6	5	0	15	8	0
ABHD18	ABHD18	50	23	67.999	66	53	85	48	9	9	15	25	35	45	37	5	90	10	22
ABHD2	ABHD2	77.245	24.437	95.041	71.067	74.502	218.172	117.956	5.442	2	24.17	41.296	49.546	55.509	58	57.204	281.271	28	77.328
ABHD3	ABHD3	56	39	130	72	100.999	202	107	31	6	10	21	49	29	23	7	152	10	42.999
ABHD4	ABHD4	18	7	10	14	19	23	21	1	0	3	13	4	12	4	8	24	3	13
ABHD5	ABHD5	39	17	24	26	48	29	30	4	0	10	10	14	32	25	3	8	26	8
ABHD6	ABHD6	4	4	4	2	7	9	8	6	0	4	9	4	6	9	2	15	0	0
ABHD8	ABHD8	2	1	8	10	5	13	4	0	0	1	8	3	8	3	0	0	0	11
ABI1	ABI1	84	63	165	98.996	128	294	204	19	15	29	40	47	59	63.006	41	257.306	30	70
ABI2	ABI2	63.001	44	77	76	70	130	66	5	8	20	23	36	44	41	40	105	22	31
ABI3	ABI3	11	3	8	9	9	28	16	5	0	3	3	6	3	0	5	29	3	0
ABI3BP	ABI3BP	14	14	12	25	27	5	18	6	0	8	9	15	16	4	0	8	3	9
ABITRAM	ABITRAM	15	16	20	16	16	40	25	10	0	1	9	5	13	9	1	43	3	12
ABL1	ABL1	20	16	14	23	23	25	18	0	4	2	19	15	16	11	1	29	5	0
ABL2	ABL2	51	47	47	47	56	64	33	1	0	17	34	35	47	21	19	1	12	24
ABLIM1	ABLIM1	214	130.999	346.999	223	190	791.001	395	95	38	59	110	185	177	164	109	453	52	136
ABLIM2	ABLIM2	5	6	5	4	3	6	3	0	2	3	0	2	4	3	0	6	0	1
ABLIM3	ABLIM3	20	3	3	8	11	0	5	0	0	7	3	10	13	1	3	0	3	5
ABO	ABO	7	3	9	22	5	10	4	0	1	2	4	22	6	3	11	17	0	1
ABR	ABR	75	25	45	52	44	172	105	6	1	18	21	31	46	35	28	124	12	39
ABRA	ABRA	17	5	11	10	18	11	8	0	0	3	9	10	14	14	7	0	4	13
ABRACL	ABRACL	61	35	202	86	100	216	148	19	11	16	25	64	28	33	28	140	11	38
ABRAXAS1	ABRAXAS1	54.693	38.901	87.962	77.234	66.659	86.577	74.829	28	6	9.874	15.349	29.706	35.207	39	9.342	183.738	10.232	15.99
ABRAXAS2	ABRAXAS2	24	21	48	33	47	65	53	1	2	11	4	32	25	1	21	114	4	11
ABT1	ABT1	16	22	64	46	43	129	57	8	2	8	9	21	14	24	33	96	9	27
ABTB1	ABTB1	47	17	70	29	67	129	108	6	6	7	16	30	19	19	13	53	5	32
ABTB2	ABTB2	4	6	0	0	3	2	1	0	0	3	3	1	3	5	0	0	0	2
ACAA1	ACAA1	35.744	27.992	54.264	30.43	41.879	88.885	57.416	8.14	0	3.183	6	17.748	19.129	14.001	3.455	92.406	8.64	7.492
ACAA2	ACAA2	37	7	28	21	18	64	34	8	0	11	11	15	25	6	8	96	15	4
ACACA	ACACA	41	24	39	62	53	59	64	10	0	19	13	32	35	23	17	39	29	16
ACACB	ACACB	25	10	10	15	25	36	20	1	0	14	11	13	30	16	30	30	6	6
ACAD10	ACAD10	23	5	24	23	26	57	35	3	0	16	7	11	4	3	1	24	8	14
ACAD11	ACAD11	38.473	19.602	34.238	15.489	40.732	61.643	48.68	0	0	13.516	14.942	27.386	25.781	19	21.898	36.835	16.232	29
ACAD8	ACAD8	17	5	19	13	27	42	27	1	3	6	3	9	10	4	9	16	4	2
ACAD9	ACAD9	22	10	28.985	8	24	37	28.742	2	4	3	5	12	13	9	11	30	4	9
ACADL	ACADL	13	10	11	4	10	1	7	0	0	1	11	8	7	3	3	0	1	4
ACADM	ACADM	47	10	76	24	46	77	62	8	1	11	15	24	24	13	25	63	0	15
ACADS	ACADS	14	2	14	13	10	26	24	0	0	1	7	6	6	8	3	22	1	0
ACADSB	ACADSB	40	27	30	29	55	75	68	16	1	12	27	30	41	20	21	38	19	61
ACADVL	ACADVL	31	19	38	24	48	125.372	67	13	4	8	18	23	20	15	24	73	4	38
ACAN	ACAN	20	8	8	10	6	6	9	4	0	10	9	11	11	7	0	0	11	1
ACAP1	ACAP1	114	73	271	113	136	439	281	39	10	25	31	108	72	43	73	336	28	65
ACAP2	ACAP2	111	89	235	119	145	373	211	30	24	48	56	111	64	63	43	193	28	78
ACAP3	ACAP3	10	3	18	13	6	28	19	5	0	4	5	5	11	1	7	17	11	5
ACAT1	ACAT1	21	15	27	12	15	50	45	15	0	6	10	12	19	14	4	61	0	24
ACAT2	ACAT2	24.124	8.901	63.659	41.712	22.718	108.812	33.295	3.954	0	12.584	4	22.507	27.724	29.71	25.269	73.015	3	36.588
ACBD3	ACBD3	29	12	42.609	26	41.523	65	29.947	4	0	16	4	27	19	15	23	37	12	9
ACBD3-AS1	ACBD3-AS1	0	1	1.391	0	2.477	0	1.053	0	0	0	0	2	0	1	0	0	0	1
ACBD4	ACBD4	15	4	25	11	19	20	23	1	3	3	4	12	9	7	0	19	2	0
ACBD5	ACBD5	32.001	16	33	46	62	103.999	67	6	2	30	14	37	30	37	10	28	13	21
ACBD6	ACBD6	33	10	48	39	35	75	46	1	3	10	13	26	15	9	20	62	3	21
ACBD7	ACBD7	13	3	3.749	19	16	1	6.093	0	0	5.797	5	8.027	13	3	1	0	8	7
ACBD7-DCLRE1CP1	ACBD7-DCLRE1CP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACCS	ACCS	5	2	10	9	6	51	15	0	0	1	4	11	2	5	0	18	6	8
ACCSL	ACCSL	6	5	0	4	3	0	3	0	0	0	4	1	7	4	0	0	0	0
ACD	ACD	13	11	38	24	22	50	26	6	10	6	1	11	9	7	4	37	9	16
ACE	ACE	10	1	11	10	8	17	9	5	0	6	4	7	3	4	0	14	0	1
ACE2	ACE2	9	6	4	18	26	1	7	0	0	6	3	5	13	12	0	2	7	2
ACER1	ACER1	1	1	0	2	3	4	0	0	0	2	1	2	0	0	0	1	0	0
ACER2	ACER2	11	14	17	9	15	7	20	0	0	6	9	12	14	1	7	7	7	6
ACER3	ACER3	31.259	23	12.088	47	29	35.093	20	3.393	0	16	19.62	18	41.643	6	11.844	18.025	17.808	28
ACHE	ACHE	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0
ACIN1	ACIN1	82.999	62	137	99	137.999	274	171	26	13	23	60.999	57	78	59	37	178.001	17	49
ACKR1	ACKR1	3	7	0	4	2	0	0	0	0	3	3	0	3	1	0	0	0	1
ACKR2	ACKR2	9	8	2	5	8	2	0	6	1	4	7	10	5	7	3	0	11	4
ACKR3	ACKR3	2	3	3	7	6	11	9	0	0	0	0	4	5	2	0	0	2	0
ACKR4	ACKR4	17	16	6	29	28	7	13	2	2	12	10	17	24	9	8	0	14	12
ACLY	ACLY	76	47	127	82	103	272	161	19	2	22	14	46	58	61	34	268	17	93
ACMSD	ACMSD	0	0	6	3	2	0	1	0	0	2	3	2	2	1	0	0	1	4
ACO1	ACO1	25	40	34	40	59	59	44	4	8	14	25	32	41	16	1	42	6	17
ACO2	ACO2	44.916	23.132	55.02	30.083	38.154	97.624	62.957	6	13	5.6	11.323	26.91	19.533	30.969	16.622	81.966	3	22.959
ACOD1	ACOD1	10	8	4	10	5	0	7	0	0	2	9	0	3	0	0	0	1	0
ACOT1	ACOT1	0	5.831	1.486	1.114	3.054	7.339	5.897	0	0	0	0	1.381	5.277	0	0	0	1.12	1
ACOT11	ACOT11	33	18	12	46	57	4	27	0	0	10	14	18.975	30.863	8	0	0	28	11
ACOT12	ACOT12	1	2	1	2	3	0	3	0	0	2	4	1	1	1	2	0	1	3
ACOT13	ACOT13	32.793	34	47.999	45.976	54.716	98.882	59.267	5.969	1	11	19.96	25.001	35	39.999	13.998	106.832	13	24.813
ACOT2	ACOT2	21	8.169	29.515	8.885	28.946	29.661	28.103	5	0	4	7	16.62	15.723	6	2	24	4.88	3
ACOT4	ACOT4	4	0	2	3	7	6	4	1	0	0	1	0	7	0	7	17	0	1
ACOT6	ACOT6	2	6	0	2	10	0	5	0	0	2	1	2	1	5	0	0	2	0
ACOT7	ACOT7	1	3	2	1	0	7	3	0	0	1	1	2	2	7	0	6	0	2
ACOT8	ACOT8	11.641	7.542	16	9.422	12.737	28.947	20.745	6	4	0	2	10	9	2	3.285	21	0	18.544
ACOT9	ACOT9	24	29	30	36	44	66	58	2	3	9	8	41	18	25	0	51	21	23
ACOX1	ACOX1	55	24	52	53	47	79	63	0	1	13	26	35	35	14	2	53	7	28
ACOX2	ACOX2	1	3	6	5	3	0	1	2	0	0	3	5	5	4	1	2	1	0
ACOX3	ACOX3	14	10	13	19	13	35	22	2	0	6	19	10	19	6	9	29	0	0
ACOXL	ACOXL	18	10	7	19.999	20	2	16	1	0	4	9	8	6	3	1	3	8	7
ACOXL-AS1	ACOXL-AS1	14	11	7	15	20	0	13	1	0	6	6	14	5	8	0	0	0	0
ACP1	ACP1	63	32	113	32.999	80	203	113	25	21	18	32	38	44	17	19	140	9	66
ACP2	ACP2	17	5	13	8	11	42.68	20	12	1	5	4	10	8	5	1	21	1	4
ACP3	ACP3	18	14	8	16	14	1	5	0	0	7	9	5	15	5	0	2	7	7
ACP4	ACP4	1	1	0	2	0	2	1	2	0	0	1	2	2	0	1	3	0	0
ACP5	ACP5	17	4	20	18	7	41	30	4	5	5	3	26	5	6	20	10	1	13
ACP6	ACP6	38	28	36.001	58	35	35	32	3	10	12	19	14	32	13.999	7	54	21	27
ACP7	ACP7	0	1	0	3	1	2	1	0	0	3	0	0	7	5	0	0	3	0
ACR	ACR	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ACRBP	ACRBP	2	2	0	4	3	1	2	0	0	0	4	2	3	3	0	0	4	4
ACRV1	ACRV1	6	4	3	2	15	0	4	2	0	2	7	4	10	4	0	0	4	1
ACSBG1	ACSBG1	11.77	8.476	7.227	13.291	16.899	1.63	8.953	0	0	6.842	17.524	6.209	16.641	9.826	7.243	0	8.124	0
ACSBG2	ACSBG2	12	6	1	10	14	1	4	0	0	0	4	3	3	2	0	0	11	2
ACSF2	ACSF2	1	5	5	6	4	13	10	0	0	0	1	2	4	2	1	4	1	0
ACSF3	ACSF3	16	12	33	24.001	35	82	43	13	6	15	9	23	19.001	11	22	115	15	17
ACSL1	ACSL1	20	5	8	13	20	31	14	3	0	21	12	11	11	5	4	15	4	0
ACSL3	ACSL3	41	40	122	67.999	73	116	82	6	2	21	20	40	61	36	13	134	5	64
ACSL4	ACSL4	37.801	22	78.884	64.455	45.661	95.331	69.928	8	1	16	10	34.948	41.488	18	30	118.618	7	44.607
ACSL5	ACSL5	46.266	20	95	41	48.863	185.596	102.971	15	11	11	21	51	27.39	9	20	158	10	43
ACSL6	ACSL6	85	61	100	65	90	138	84	1	3	18	27	58	56	19	45	122	34	32
ACSM1	ACSM1	6	3	3	13	9	2	3	0	0	3	1	2	2	0	3	0	7	0
ACSM2A	ACSM2A	8.111	2.816	9.086	11.962	18.806	1	6.78	0	0	1.606	1.661	7.265	7.915	5.682	2	1	1.304	5.065
ACSM2B	ACSM2B	5.889	4.184	5.914	4.038	13.194	0	9.22	0	2	3.394	6.339	7.735	11.085	1.318	0	0	5.696	8.935
ACSM3	ACSM3	5.071	3	20.502	15.916	11.695	0	16.295	0	1	1	5.932	5.89	5.373	0	2	0	8.997	6.559
ACSM4	ACSM4	2	7	3	7	9	0	1	0	0	2	1	3	10	1	0	0	4	1
ACSM5	ACSM5	12	7	7	13	10	0	6	1	0	1	2	2	6	0	0	0	2	7
ACSM6	ACSM6	4	0	6	0	8	1	1	0	0	0	1	5	7	0	0	1	0	2
ACSS1	ACSS1	25	14	59	38	43	76	33	10	0	9	25	23	14	17	16	56	3	53
ACSS2	ACSS2	6	5	19	11	13	10	13	0	0	8	1	15	16	5	0	44	6	9
ACSS3	ACSS3	26.931	11.309	68.876	30.567	42.087	2.602	33.442	0	0	10.659	9.226	14.176	39.189	25.104	17	0	16.897	34.881
ACTA1	ACTA1	0	1.446	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
ACTA2	ACTA2	7.036	6.55	17.76	4.017	8.413	17.92	15.576	3	0	6.41	7.183	5.926	7	5	1.022	1.109	4.043	3.168
ACTA2-AS1	ACTA2-AS1	17.964	6.45	8.24	12	28.587	16.081	15.424	3	1	8.59	6.817	19.074	8	7	9.978	12.891	11.957	11.832
ACTB	ACTB	1948.122	888.273	5453.481	2711.71	1937.985	9843.924	5584.122	956.999	422	549.978	673	1725.907	1318.277	1394.361	1914.882	10751.845	448.999	1951.895
ACTBL2	ACTBL2	14	6	7	11	15	0	10	0	0	6	2	15	16	2	0	0	4	5
ACTC1	ACTC1	0	0	0	2.983	2	1	3	0	0	0	1	3	3	2	0	0	0	0
ACTG1	ACTG1	850.997	455	2107.034	1051.82	800.999	3097.231	1733.994	363	177	236.992	281	724.108	440	448.003	685	2125.001	184.001	726
ACTG1P17	ACTG1P17	7	6	4	5	5	2	0	0	0	5	7	21	2	7	0	1	2	1
ACTG1P20	ACTG1P20	14	5	10.003	10	12	22	15.006	0	1	11.008	7	10	11	20	5	8	3	7
ACTG1P4	ACTG1P4	9	8	2	5	14	0	9	3	0	7	8	8	17	6	0	0	8	1
ACTG2	ACTG2	5	0	1	4	4	0	2	0	0	1	3	2	2	2	0	0	2	3
ACTL10	ACTL10	1	1	8	11	3	14	8	4	0	0	1	6	2	5	0	15	0	0
ACTL6A	ACTL6A	25	16	77	20	41	98	62	12	6	14	14	20	33	23	9	99	6	9
ACTL6B	ACTL6B	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0
ACTL7A	ACTL7A	2	1	0	8	3	0	0	0	0	2	2	0	2	7	0	0	0	0
ACTL7B	ACTL7B	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
ACTL8	ACTL8	1	2	0	2	1	1	1	0	0	0	0	0	1	0	0	0	0	0
ACTL9	ACTL9	0	2	0	0	1	0	1	0	0	0	3	1	2	3	0	0	0	0
ACTN1	ACTN1	46	49	111	56	102	121	139	14	8	10	30	39	53	32	16	183	18	30
ACTN1-AS1	ACTN1-AS1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ACTN2	ACTN2	13	5	3	14	9	1	1	0	1	8	3	11	12	13	7	0	2	8
ACTN3	ACTN3	1	2	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
ACTN4	ACTN4	70.99	28	89.363	57	48.503	198.266	140.068	3	24	11	20.975	67	48.93	18	34	75	10	55
ACTR10	ACTR10	36	20	86	57	47	124	66	7	3	8	10	33	34	27	20	127	5	23
ACTR1A	ACTR1A	37	19	73	21	64	129	82	38	7	15	20	29	24	20	27	90	13	35
ACTR1B	ACTR1B	33	11	74	22	51	95	64	2	0	11	8	24	19	5	8	84	6	26
ACTR2	ACTR2	284	177	619	353	268	667	485	88	34	79	104	195	216	88	128	524	40	170
ACTR3	ACTR3	322.001	126	609.001	319	350	841	527	90.999	14	61	68	306	215	144.999	160	750	66	240.001
ACTR3-AS1	ACTR3-AS1	0	1	1	3	3	1	4	1	0	0	0	1	0	0	1	4	0	0
ACTR3B	ACTR3B	2.8	1.327	4.292	2.677	9.259	15.014	9.455	1	3.502	1.116	5.933	7.743	2.163	5.061	3.218	8.042	3.532	0
ACTR3BP2	ACTR3BP2	11.648	17.052	9.202	14.673	5.695	1	3.499	0	0	2.802	1.305	9.151	11.061	2.27	0	0	1.227	10.794
ACTR3BP5	ACTR3BP5	15.352	15.948	9.798	16.327	21.305	0	5.501	2	0	12.198	14.695	14.849	24.939	6.73	1	4	12.773	4.206
ACTR3C	ACTR3C	62.2	53.673	47.707	75.323	68.746	75.96	41.361	12	1.474	22.884	49.068	43.228	82.837	50.773	22.782	7.958	41.467	18
ACTR5	ACTR5	22	7	38	16	26	36	21	19	10	14	2	8	21	11	7	59	4	3
ACTR6	ACTR6	30	15	85	52	39	117	80.001	8	4	14	13	29	27	24	14	65	15	31
ACTR8	ACTR8	24	4	34	23	31	51	33	0	0	5	1	14	27	13	5	56	12	7
ACTRT1	ACTRT1	4	3	3	13	17	0	7	0	0	2	1	3	8	0	1	0	4	1
ACTRT2	ACTRT2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ACTRT3	ACTRT3	4	1	4	3	4	0	7	0	0	7	0	2	0	4	0	0	0	2
ACVR1	ACVR1	36	25	51	28	32	44	46	8	1	6	15	21	28	7	3	41	21	13
ACVR1B	ACVR1B	7	8	7	17	11	6	5	3	6	4	13	12	9	3	3	1	1	0
ACVR1C	ACVR1C	56	39	83	62	90	3	77	17	0	18	34	29	53	29	24	37	24	57
